N/A
A & M Cons High School in College Station, TX
East Central University - Southeastern Oklahoma State University Idabel in Idabel, OK
East Central University - Southeastern Oklahoma State University in Durant, OK
East Chambers High School in Winnie, TX
East Chambers Intermediate in Winnie, TX
East Chambers J H in Winnie, TX
East Early Childhood Center in Florissant, MO
East Early College High School in Houston, TX
East Feliciana High School in Jackson, LA
East Feliciana Parish Enrichment Academy in Clinton, LA
East Fort Worth Montessori Academy in Fort Worth, TX
East Grand Preparatory Academy in Dallas, TX
East High in Wichita, KS
East High School in Denver, CO
East High School in Kansas City, MO
East High School in Pueblo, CO
East Jefferson High School in Metairie, LA
East Kemper Attendance Center in Scooba, MS
East Marion High School in Columbia, MS
East Mississippi Community College - EMCC Golden Triangle Campus in Mayhew, MS
East Mississippi Community College - Workforce Dev Site in Columbus, MS
East Mountain High School in Sandia Park, NM
East Newton High in Granby, MO
East Oktibbeha County High in Crawford, MS
East Prairie High in East Prairie, MO
East Prairie Jr. High in East Prairie, MO
East Recep/Diag Corr Cent/Acad in Bonne Terre, MO
East Recep/Diag Corr Cent/Diag in Bonne Terre, MO
East Side High School in Cleveland, MS
East Side Int in Palacios, TX
East St. John High School in Reserve, LA
East Sunflower School in Sunflower, MS
East Texas Baptist University - Rehoboth Assoc in Sulphur Springs, TX
East Texas Baptist University - Soda Lake Assocs in Marshall, TX
East Union Attendance Center in Blue Springs, MS
East View High School in Georgetown, TX
East Webster High School in Maben, MS
Eastern College of Health Vocations - in New Orleans, LA
Eastern Hills High School in Fort Worth, TX
Eastern La Mental System in Jackson, LA
Eastern New Mexico University - Artesia in Artesia, NM
Eastern New Mexico University - Carlsbad in Carlsbad, NM
Eastern New Mexico University - ClovisCAFB in Cannon AFB, NM
Eastern New Mexico University - ClovisCCC in Clovis, NM
Eastern New Mexico University - Farmington in Farmington, NM
Eastern New Mexico University - Hobbs in Hobbs, NM
Eastern New Mexico University - Roswell in Roswell, NM
Eastern New Mexico University - Ruidoso Branch Community College in Ruidoso, NM
Eastern New Mexico University - Tucumcari in Tucumcari, NM
Eastern Oklahoma State College - Antlers Teaching Site in Antlers, OK
Eastern Oklahoma State College - McAlester Branch Campus in McAlester, OK
Eastern Oklahoma State College - McCurtain County Higher Education Center in Idabel, OK
Eastern University - /Oklahoma in Muskogee, OK
Eastern University - Gaudenzia Inc. (Philadelphia/Norristown) Corporate Office in Norristown, OK
Eastlake High School in El Paso, TX
Eastland Care Campus in Eastland, TX
Eastland High School in Eastland, TX
Eastside Memorial At The Johnston Campus in Austin, TX
Eastwood Academy in Houston, TX
Eastwood High School in El Paso, TX
Eastwood Knolls in El Paso, TX
Eaton High School in Eaton, CO
Ebarb School in Noble, LA
Ebr Readiness Superintendent Academy in Baton Rouge, LA
Ecademy Virtual High School in Albuquerque, NM
Ecdc Bunche in Tulsa, OK
Ecdc Porter in Tulsa, OK
Ecdc Reed in Tulsa, OK
Ece Center in Carlsbad, NM
Echo Day Treatment Ctr. in Cape Girardeau, MO
Ecisd Falcon Early College High School in Odessa, TX
Eckert Int in Houston, TX
eClips School of Cosmetology and Barbering - eClips School of Cosmetology in Sikeston, MO
eClips School of Cosmetology and Barbering - in Overland, MO
Economedes High School in Edinburg, TX
Ector Co Youth Ctr in Odessa, TX
Ector High School in Ector, TX
Ed White Memorial High School in League City, TX
Edcouch-Elsa High School Academy in Elsa, TX
Edcouch-Elsa High School in Elsa, TX
Edcsd: Colorado Cyber School in Castle Rock, CO
Eddie Finley Sr J H in Waxahachie, TX
Eden Cisd in Eden, TX
Eden Park Academy in Austin, TX
Eden Park Superintendent Academy in Baton Rouge, LA
Edgar P. Harney Spirit Of Excellence Academy in New Orleans, LA
Edgerton Elem in Edgerton, KS
Edgewood High School in Edgewood, TX
Edgewood Int in Edgewood, TX
Edgewood-Grand Saline Ssa in Edgewood, TX
Edinburg Alternative Education Academy in Edinburg, TX
Edinburg High School in Edinburg, TX
Edinburg North High School in Edinburg, TX
Edison Academy in Yoder, CO
Edison High School in San Antonio, TX
Edison Junior-Senior High School in Yoder, CO
Edison Prep in Yoder, CO
Edith Schooleuerman Elem in Garden City, KS
Edna Alternative in Edna, TX
Edna And John W. Mosley P-8 in Aurora, CO
Edna Elem in Edna, KS
Edna High School in Edna, TX
Edna J H in Edna, TX
Edna Karr High School in New Orleans, LA
Edna Tamayo House in Harlingen, TX
Educ Therap Support At Madison in St. Louis, MO
Education Center International Academy 1 in Sunnyvale, TX
Education Center International Academy 2 in Rowlett, TX
Education Dev Centert in Gallup, NM
Educational and Cultural Interactions - Educational & Cultural Interactions in Dallas, TX
Edward Hynes Charter School in New Orleans, LA
Edwardsville Elem in Edwardsville, KS
Edwin F Williams Int in Perryton, TX
Ehrhart School in Beaumont, TX
Eighty-First Street Ece Center in Shreveport, LA
Einstein Charter School in New Orleans, LA
Eisenhower Elem in Fort Leavenworth, KS
Eisenhower Elem in Great Bend, KS
Eisenhower Elem in Independence, KS
Eisenhower Elem in Junction City, KS
Eisenhower Elem in Norton, KS
Eisenhower Elem in Wellington, KS
Eisenhower High School in Goddard, KS
Eisenhower High School in Houston, TX
Eisenhower High School in Lawton, OK
Eisenhower Ninth Grade School in Houston, TX
El #22 in Mckinney, TX
El #28 in Humble, TX
El #29 in Humble, TX
El #30 in Humble, TX
El Alter Learning Center in Nolanville, TX
El Camino Real Academy Community in Santa Fe, NM
El Camino Real Academy in Albuquerque, NM
El Campo High School in El Campo, TX
El Daep in Austin, TX
El Daep in Houston, TX
El Dorado 9Th Grade Academy in El Paso, TX
El Dorado Community School in Santa Fe, NM
El Dorado High in El Dorado, KS
El Dorado High School in El Paso, TX
El Dorado Springs High in El Dorado Springs, MO
El Magnet At Blackshear in Odessa, TX
El Magnet At Hays in Odessa, TX
El Magnet At Travis in Odessa, TX
El Magnet At Zavala in Odessa, TX
El Paso Academy in El Paso, TX
El Paso Academy West in El Paso, TX
El Paso Community College - Mission del Paso Campus in El Paso, TX
El Paso Community College - Transmountain Campus in El Paso, TX
El Paso Community College - Valle Verde Campus in El Paso, TX
El Paso Elem in Derby, KS
El Paso High School in El Paso, TX
El Paso Leadership Academy in El Paso, TX
El Reno High School in El Reno, OK
Eladio R Martinez Learning Center in Dallas, TX
Elaine S Schoollather Int in Cibolo, TX
Elayn Hunt Correctional Center in St. Gabriel, LA
Elbert Junior-Senior High School in Elbert, CO
Elder Coop Alter School in Kilgore, TX
Elder Coop Alternative School in New London, TX
Eldon Career Ctr. in Eldon, MO
Eldon High in Eldon, MO
Eldorado High in Albuquerque, NM
Eldorado High School in Eldorado, OK
Eldorado High School in Eldorado, TX
Eldorado K-8 School in Superior, CO
Eleanor Kolitz Hebrew Language Academy in San Antonio, TX
Eleanor Mcmain Secondary School in New Orleans, LA
Electra Junior/Senior High in Electra, TX
Elem. Special Programs Dept. in Florissant, MO
Elevate Academy in Lakewood, CO
Elgin High School in Elgin, OK
Elgin High School in Elgin, TX
Elida High in Elida, NM
Elite Welding Academy - Houston in Houston, TX
Elizabeth High School in Elizabeth, CO
Elizabeth High School in Elizabeth, LA
Elizabeth Running Creek Preschool in Elizabeth, CO
Elk City High School in Elk City, OK
Elk Valley High School in Longton, KS
Elkhart Daep in Palestine, TX
Elkhart Elem in Elkhart, KS
Elkhart High in Elkhart, KS
Elkhart High School in Elkhart, TX
Elkhart Int in Elkhart, TX
Ellender Memorial High School in Houma, LA
Ellicott Senior High School in Ellicott, CO
Ellington High School in Ellington, MO
Ellinwood Elem in Ellinwood, KS
Ellinwood High in Ellinwood, KS
Ellis Jr/Sr High in Ellis, KS
Ellisville State School in Ellisville, MS
Ellsworth Elem in Ellsworth, KS
Ellsworth High in Ellsworth, KS
Elmer C Watson High School in Fort Worth, TX
Elmont Elem in Topeka, KS
Elmore City Jhs in Elmore City, OK
ELS Language Centers - Houston in Houston, TX
ELS Language Centers - Johnson Wale University in Denver, CO
ELS Language Centers - Lake Charles in Lake Charles, LA
ELS Language Centers - Lubbock in Lubbock, TX
ELS Language Centers - Margville University in St. Louis, MO
ELS Language Centers - Oklahoma City in Oklahoma City, OK
ELS Language Centers - Richardson in Richardson, TX
ELS Language Centers - Ruston in Ruston, LA
ELS Language Centers - San Antonio in San Antonio, TX
ELS Language Centers - St. Louis in St. Louis, MO
ELS Language Centers - St. Paul in St. Paul, MO
ELS Language Centers - University of St.Thomas in Houston, TX
ELS Language Centers - Westminster in Westminster, CO
Elsberry High in Elsberry, MO
Elsik High School in Houston, TX
Elton High School in Elton, LA
Elvis J Ballew High School in San Juan, TX
Elysian Fields High School in Elysian Fields, TX
Embry-Riddle Aeronautical University - Daytona Beach - El Paso in Ft. Bliss, TX
Emeline Carpenter Int in Nacogdoches, TX
Emerson Alternative Ed. (Es) in Oklahoma City, OK
Emerson Alternative Ed. (Hs) in Oklahoma City, OK
Emerson Alternative Ed. (Ms) in Oklahoma City, OK
Emerson Elem in Kansas City, KS
Emil E. Holt Sr. High in Wentzville, MO
Emilio & Guadalupe Gonzalez Pre-K Center in Denton, TX
Emily Griffith Technical College - in Denver, CO
Emily Griffith Technical College in Denver, CO
Eminence High in Eminence, MO
Emmett J Conrad High School in Dallas, TX
Empire Beauty School - Aurora in Aurora, CO
Empire Beauty School - Lehigh Valley - Empire Beauty School Lakewood in Lakewood, CO
Empire Beauty School - Littleton in Littleton, CO
Empire Beauty School - Portland - Empire Beauty School Arvada in Arvada, CO
Empire Beauty School - Queens - Empire Beauty School Thornton in Thornton, CO
Empire High School in Duncan, OK
Empire Jhs in Duncan, OK
Emporia High in Emporia, KS
Emporia State University - Butler Community College in El Dorado, KS
Emporia State University - Johnson County Community College in Overland Park, KS
Emporia State University - Kansas City, Kansas Community College in Kansas City, KS
Emporia State University - Metro Learning Center in Overland Park, KS
Emporia State University - The Earl Center in Emporia, KS
Encore Academy in New Orleans, LA
Endeavor Academy in Centennial, CO
Endeavor Hs-Joe Frank Campbell Learning Center in Channelview, TX
Energized For Excellence Academy Ecc in Houston, TX
Energized For Stem Academy Central High School in Houston, TX
Energized For Stem Academy West High School in Houston, TX
Energy Institute High School in Houston, TX
Engage Online Academy in Greeley, CO
Enge-Washington Int in Groesbeck, TX
Englewood Early Childhood Education Center At Madd in Englewood, CO
Englewood High School in Englewood, CO
Englewood Leadership Academy in Englewood, CO
Enid High School in Enid, OK
Ennis High School in Ennis, TX
Ennis J H in Ennis, TX
Enterprise City in Richardson, TX
Enterprise Elem in Enterprise, KS
Enterprise Elem in Wichita, KS
Enterprise High School in Enterprise, MS
Enterprise School in Brookhaven, MS
Epic One On One Charter High School in Oklahoma City, OK
Epps High School in Epps, LA
Era School in Era, TX
Erath High School in Erath, LA
Erick High School in Erick, OK
Erie High School in Erie, CO
Erie High School in Erie, KS
Ernesto Serna School in El Paso, TX
Ervin Early Learning Center in Kansas City, MO
Es140 in Killeen, TX
Escalante-Biggs Academy in Denver, CO
Escamilla Int in Houston, TX
E-School in Plano, TX
Escontrias Early Child Ctr in El Paso, TX
Escuela Tlatelolco School in Denver, CO
Espanola Valley High in Espanola, NM
Esperanza Charter School in New Orleans, LA
Estacado High School in Lubbock, TX
Estancia High in Estancia, NM
Estancia Valley Classical Academy in Moriarty, NM
Estancia Valley Learning in Estancia, NM
Estes Park High School in Estes Park, CO
Estes Park K-5 School in Estes Park, CO
Estes Park Options School in Estes Park, CO
Estrada Achievement Ctr in San Antonio, TX
Ethel Attendance Center in Ethel, MS
Etoile Daep in Nacogdoches, TX
Etta Dale Jhs in El Reno, OK
Eubanks Int in Southlake, TX
Eudora High School in Eudora, KS
Eufaula High School in Eufaula, OK
Eugene Field Elem in Ottawa, KS
Eugene High in Eugene, MO
Eugene Ware Elem in Fort Scott, KS
Eugene Ware Elem in Kansas City, KS
Eula High School in Clyde, TX
Eula J H in Clyde, TX
Euless J H in Euless, TX
Eunice Career & Technical Education Center in Eunice, LA
Eunice High in Eunice, NM
Eunice High School in Eunice, LA
Eunice Junior High School in Eunice, LA
Eupora High School in Eupora, MS
Eureka Jr/Sr High in Eureka, KS
Eureka Sr. High in Eureka, MO
Eustace High School in Eustace, TX
Eustace Int in Eustace, TX
Eustace Pri in Eustace, TX
Evadale High School in Evadale, TX
Evadale J H in Evadale, TX
Evangel University - Assemblies of God Theological Seminary in Springfield, MO
Evangel University - James River Assembly of God Church in Ozark, MO
Evangeline Central School in Ville Platte, LA
Evans High School in Evans, LA
Evans Ses in Corpus Christi, TX
Evant High School in Evant, TX
Everest College - Colorado Springs - Everest College Fort Worth in Fort Worth, TX
Everest College - Everett - Everest College Earth City in Earth City, MO
Everest College - Thornton - Everest College Aurora in Aurora, CO
Everest College - Woodbridge - Everest College Dallas in Dallas, TX
Everest Institute - San Antonio - Everest Institute Houston in Houston, TX
Everest Institute - Southfield - Everest Institute Austin in Austin, TX
Everest University - Tampa - Everest College Kansas City in Kansas City, MO
Everett Wade Juvenile Ctr. in Harrisonville, MO
Evergreen High School in Evergreen, CO
